country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower,ci_upper,z,pvalue,grand_mean,is_reference,sig_95,sig_90
EST,Estonia,Baltic,full,SUPF,-1.0194017114688751,-1.1018856244435173,0.09078655896090533,-1.2798240102872138,-0.9239472385998208,-11.228553247709847,0,0.08248391297464211,FALSE,TRUE,TRUE
FRA,France,Western,full,SUPF,0.06415573870912673,-0.018328174265515376,0.10612430767553335,-0.22632799519380833,0.18967164666277755,0.6045338727228997,0.5454887560908586,0.08248391297464211,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,full,SUPF,0.2877818398323647,0.2052979268577226,0.10473612960496598,1.8884951870024036e-5,0.4105769687635752,2.7476844993011826,0.006001773095701157,0.08248391297464211,FALSE,TRUE,TRUE
ITA,Italy,Southern,full,SUPF,0.08773350400385718,0.005249591029215073,0.10705559923674647,-0.20457552781816166,0.2150747098765918,0.8195134549650249,0.4124935285479996,0.08248391297464211,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,full,SUPF,-0.9987257490197249,-1.081209661994367,0.0929169400577609,-1.2633235180612454,-0.8990958059274886,-10.748586300828212,0,0.08248391297464211,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,full,SUPF,-0.7197746403175103,-0.8022585532921523,0.09605934300560699,-0.9905314059617215,-0.6139857006225832,-7.493020645326473,6.727951529228449e-14,0.08248391297464211,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,SUPF,-0.26655100410376226,-0.3490349170784044,0.10521177498530125,-0.555246206799127,-0.14282362735768178,-2.5334712216479676,0.011293901358808034,0.08248391297464211,FALSE,TRUE,TRUE
SRB,Serbia,Southern,full,SUPF,1.3659871954964227,1.2835032825217805,0.1097236287900614,1.068448921840218,1.498557643203343,12.449343961363333,0,0.08248391297464211,FALSE,TRUE,TRUE
TUR,Turkey,Southern,full,SUPF,0.7152977711486138,0.6328138581739717,0.10895776527525884,0.4192605623984955,0.846367153949448,6.564908607858877,5.2064796918216416e-11,0.08248391297464211,FALSE,TRUE,TRUE
AUT,Austria,Western,full,SUPFCH,-8.449610621394212e-4,-0.10477050518031202,0.1009500921197091,-0.30262904997094253,0.0930880396103185,-0.008370087083600139,0.9933217147217943,0.10392554411817259,FALSE,FALSE,FALSE
BEL,Belgium,Western,full,SUPFCH,0,-0.10392554411817259,0,-0.10392554411817259,-0.10392554411817259,NA,NA,0.10392554411817259,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,SUPFCH,1.1201878963611103,1.0162623522429377,0.10222658362364773,0.8159019300780161,1.2166227744078593,10.957892327548947,0,0.10392554411817259,FALSE,TRUE,TRUE
DEU,Germany,Western,full,SUPFCH,-0.003719820360384824,-0.10764536447855741,0.10006919333962976,-0.30377737938620714,0.08848665042909232,-0.03717248272162985,0.9703474790502244,0.10392554411817259,FALSE,FALSE,FALSE
EST,Estonia,Baltic,full,SUPFCH,-0.764513116223761,-0.8684386603419335,0.09181952265254117,-1.0484016178185738,-0.6884757028652932,-8.326258884145947,0,0.10392554411817259,FALSE,TRUE,TRUE
FRA,France,Western,full,SUPFCH,-0.0170641475310369,-0.12098969164920949,0.09986499652243322,-0.3167214881493963,0.07474210485097732,-0.17087215866676256,0.8643242888393303,0.10392554411817259,FALSE,FALSE,FALSE
HUN,Hungary,Central-East,full,SUPFCH,0.24470266931141232,0.14077712519323973,0.09838811511831849,-0.052060036945445254,0.3336142873319248,2.487116142200107,0.012878334815537684,0.10392554411817259,FALSE,FALSE,FALSE
ITA,Italy,Southern,full,SUPFCH,0.0898364233618024,-0.014089120756370185,0.0993726922947086,-0.20885601870077997,0.1806777771880396,0.9040353168189851,0.3659766748076301,0.10392554411817259,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,full,SUPFCH,-0.7706107802638954,-0.874536324382068,0.09466674236853728,-1.060079729958133,-0.6889929188060029,-8.14024821160435,4.440892098500626e-16,0.10392554411817259,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,full,SUPFCH,-0.24291917467816715,-0.3468447187963397,0.10148143285412405,-0.5457446722899426,-0.14794476530273687,-2.393730240558929,0.016678010044594016,0.10392554411817259,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,SUPFCH,0.11288832847534959,0.008962784357176998,0.1001729173125105,-0.18737252580165242,0.20529809451600642,1.1269346196953682,0.2597701248007689,0.10392554411817259,FALSE,FALSE,FALSE
SRB,Serbia,Southern,full,SUPFCH,0.8956988043220474,0.7917732602038748,0.10255526926050146,0.5907686260284843,0.9927778943792653,8.73381553947146,0,0.10392554411817259,FALSE,TRUE,TRUE
TUR,Turkey,Southern,full,SUPFCH,0.6873899518239062,0.5834644077057336,0.10719295343357299,0.37337007957945145,0.7935587358320157,6.41264122132691,1.4301981821063237e-10,0.10392554411817259,FALSE,TRUE,TRUE
AUT,Austria,Western,full,FIMI,-0.031038610165457264,-0.08213596889183682,0.06495934502140692,-0.2094539455931056,0.045182007809431976,-0.47781593480089274,0.6327812185779642,0.05109735872637955,FALSE,FALSE,FALSE
BEL,Belgium,Western,full,FIMI,0,-0.05109735872637955,0,-0.05109735872637955,-0.05109735872637955,NA,NA,0.05109735872637955,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,FIMI,-0.09534996974089162,-0.14644732846727115,0.06996024865377425,-0.28356689617813546,-0.009327760756406886,-1.3629163928900307,0.172908861703144,0.05109735872637955,FALSE,TRUE,TRUE
DEU,Germany,Western,full,FIMI,-0.22036067332530637,-0.27145803205168595,0.06872604831381092,-0.406158611546515,-0.13675745255685684,-3.2063632164490903,0.0013442419584523968,0.05109735872637955,FALSE,TRUE,TRUE
EST,Estonia,Baltic,full,FIMI,0.2569496610834424,0.20585230235706287,0.06894386646468223,0.0707248071313469,0.34097979758277885,3.7269401073563175,1.9381849182265043e-4,0.05109735872637955,FALSE,TRUE,TRUE
FRA,France,Western,full,FIMI,-0.08787670224394861,-0.13897406097032816,0.06870252150220359,-0.2736285287617358,-0.0043195931789205,-1.2790899128954099,0.20086539532278547,0.05109735872637955,FALSE,TRUE,TRUE
HUN,Hungary,Central-East,full,FIMI,-0.052011503553006655,-0.1031088622793862,0.06921628033154202,-0.23877027887303665,0.03255255431426424,-0.7514345368441432,0.45239118418216195,0.05109735872637955,FALSE,FALSE,FALSE
ITA,Italy,Southern,full,FIMI,-0.032632836553070005,-0.08373019527944955,0.0671771789136166,-0.21539504653314162,0.04793465597424251,-0.4857726549522524,0.6271283641608274,0.05109735872637955,FALSE,FALSE,FALSE
LTU,Lithuania,Baltic,full,FIMI,0.5149800059762341,0.4638826472498545,0.06897499147530509,0.3286941481242993,0.5990711463754097,7.4661844091798235,8.260059303211165e-14,0.05109735872637955,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,full,FIMI,0.45988035170069447,0.4087829929743149,0.06774329922971649,0.27600856629015064,0.5415574196584793,6.788573289606803,1.1324718940386447e-11,0.05109735872637955,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,FIMI,0.17309706623527996,0.1219997075089004,0.06728703123782108,-0.009880450343850461,0.2538798653616513,2.572517512676121,0.010096184788581208,0.05109735872637955,FALSE,FALSE,TRUE
SRB,Serbia,Southern,full,FIMI,0.04536232766520077,-0.005735031061178779,0.06778760392574835,-0.13859629335391152,0.12712623123155395,0.6691832287639009,0.5033786032769152,0.05109735872637955,FALSE,FALSE,FALSE
TUR,Turkey,Southern,full,FIMI,-0.266733453636237,-0.31783081236261657,0.07633415771206115,-0.4674430122684568,-0.16821861245677633,-3.4942869827997316,4.753297641870713e-4,0.05109735872637955,FALSE,TRUE,TRUE
