country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower_raw,ci_upper_raw,ci_lower,ci_upper,grand_mean,sig_95,sig_90,z,pvalue,is_reference
BGR,Bulgaria,Central-East,predictors_only,GEN,0.5628485774686637,0.5627290761264203,0.03904223881206349,0.48631527364683436,0.639381881290493,0.486195772304591,0.6392623799482496,1.195013422433901e-4,TRUE,TRUE,14.413340352616897,4.2657019689506065e-47,FALSE
POL,Poland,Central-East,predictors_only,GEN,-0.09314702539902656,-0.09326652674126995,0.03878108378198706,-0.16916839502165049,-0.017125655776402612,-0.16928789636389388,-0.017245157118646003,1.195013422433901e-4,TRUE,TRUE,-2.404948950513605,0.01617472507965706,FALSE
SRB,Serbia,Southern,predictors_only,GEN,0.588805781824285,0.5886862804820416,0.03858862063972572,0.513161691799076,0.664449871849494,0.5130421904568326,0.6643303705072506,1.195013422433901e-4,TRUE,TRUE,15.25543724348645,1.5147692408501993e-52,FALSE
LTU,Lithuania,Baltic,predictors_only,GEN,-0.11444527161520729,-0.11456477295745068,0.039009305665069716,-0.19091401759861917,-0.037976525631795405,-0.19103351894086257,-0.03809602697403879,1.195013422433901e-4,TRUE,TRUE,-2.9368575267935606,0.003315563893418656,FALSE
EST,Estonia,Baltic,predictors_only,GEN,-0.6586040279284494,-0.6587235292706928,0.03865245628408839,-0.7343732530102874,-0.5828348028466114,-0.7344927543525308,-0.5829543041888547,1.195013422433901e-4,TRUE,TRUE,-17.042216526401244,3.9930689463891324e-65,FALSE
LVA,Latvia,Baltic,predictors_only,GEN,-0.2933199150132531,-0.2934394163554965,0.03891100402457067,-0.369595963304437,-0.21704386672206918,-0.36971546464668037,-0.21716336806431258,1.195013422433901e-4,TRUE,TRUE,-7.541296445864048,4.653219675506965e-14,FALSE
FRA,France,Western,predictors_only,GEN,-0.032002905620895424,-0.03212240696313881,0.03891100402457001,-0.10827895391207806,0.04427314267028721,-0.10839845525432146,0.04415364132804382,1.195013422433901e-4,FALSE,FALSE,-0.8255352892681823,0.4090677563632525,FALSE
BEL,Belgium,Western,predictors_only,SUPF,-0.04766126748625011,-0.047454013604241486,0.03779131774644141,-0.12174242909274108,0.026419894120240865,-0.12153517521073245,0.026627148002249492,-2.072538820086262e-4,FALSE,FALSE,-1.2556856027786953,0.20922998112700583,FALSE
DEU,Germany,Western,predictors_only,SUPF,-0.003530147130632927,-0.003322893248624301,0.03769640428286206,-0.07742525278423999,0.07036495852297413,-0.07721799890223137,0.07057221240498275,-2.072538820086262e-4,FALSE,FALSE,-0.08814881185193013,0.9297584010911221,FALSE
ITA,Italy,Southern,predictors_only,SUPF,0.0046535813399083276,0.0048608352219169535,0.03744675647501575,-0.06875214736945309,0.07805931004926975,-0.06854489348744447,0.07826656393127837,-2.072538820086262e-4,FALSE,FALSE,0.12980657550835073,0.896719460431805,FALSE
HUN,Hungary,Central-East,predictors_only,SUPF,0.11999815377882317,0.12020540766083179,0.03766492502535901,0.04616475594863689,0.19383155160900944,0.046372009830645516,0.19403880549101807,-2.072538820086262e-4,TRUE,TRUE,3.1914415754153236,0.0014156473864806408,FALSE
TUR,Turkey,Southern,predictors_only,SUPF,0.3348464700568603,0.33505372393886895,0.03766492502535934,0.26101307222667336,0.40867986788704724,0.261220326108682,0.4088871217690559,-2.072538820086262e-4,TRUE,TRUE,8.895642928089762,5.808205112168295e-19,FALSE
AUT,Austria,Western,predictors_only,SUPF,-0.009209236427262959,-0.009001982545254332,0.037664925025358925,-0.08304263425744907,0.06462416140292315,-0.08283538037544044,0.06483141528493178,-2.072538820086262e-4,FALSE,FALSE,-0.2390017380678046,0.8111042350104785,FALSE
BGR,Bulgaria,Central-East,predictors_only,SUPF,0.7078717178356976,0.7080789717177062,0.03788695176965238,0.6336030877853671,0.782140347886028,0.6338103416673757,0.7823476017680366,-2.072538820086262e-4,TRUE,TRUE,18.689256819147975,6.055058637965761e-78,FALSE
POL,Poland,Central-East,predictors_only,SUPF,-0.18944061507908827,-0.18923336119707965,0.03763352449883074,-0.26321245941977,-0.11566877073840656,-0.26300520553776136,-0.11546151685639794,-2.072538820086262e-4,TRUE,TRUE,-5.028318865084216,4.947985985209035e-7,FALSE
SRB,Serbia,Southern,predictors_only,SUPF,0.6733133234291416,0.6735205773111502,0.0374467564750145,0.5999075947197826,0.7467190521385006,0.6001148486017912,0.7469263060205092,-2.072538820086262e-4,TRUE,TRUE,17.986085864620655,2.504344095330739e-72,FALSE
LTU,Lithuania,Baltic,predictors_only,SUPF,-0.5728640155927727,-0.5726567617107641,0.037854993137418656,-0.6470699981160941,-0.4986580330694512,-0.6468627442340855,-0.49845077918744257,-2.072538820086262e-4,TRUE,TRUE,-15.1276414086761,1.0644246805808778e-51,FALSE
EST,Estonia,Baltic,predictors_only,SUPF,-0.5850894775575554,-0.5848822236755468,0.03750870317819398,-0.6586166384900514,-0.5115623166250594,-0.6584093846080428,-0.5113550627430508,-2.072538820086262e-4,TRUE,TRUE,-15.593240344698808,8.092257814439098e-55,FALSE
LVA,Latvia,Baltic,predictors_only,SUPF,-0.42517394138607506,-0.4249666875040664,0.03775960031093673,-0.4991929282761105,-0.3511549544960396,-0.49898567439410185,-0.35094770061403097,-2.072538820086262e-4,TRUE,TRUE,-11.25453352272319,2.1998696592541533e-29,FALSE
FRA,France,Western,predictors_only,SUPF,-0.010408846246906111,-0.010201592364897484,0.03775960031093609,-0.0844278331369403,0.06361014064312809,-0.08422057925493168,0.06381739452513671,-2.072538820086262e-4,FALSE,FALSE,-0.27017214909297804,0.7870278180259285,FALSE
BEL,Belgium,Western,predictors_only,SUPFCH,-0.06229389394544802,-0.0622181558717973,0.03911580857320077,-0.1389714143145999,0.01438362642370384,-0.13889567624094917,0.014459364497354563,-7.573807365072269e-5,FALSE,FALSE,-1.5906140801196307,0.11169645377552813,FALSE
DEU,Germany,Western,predictors_only,SUPFCH,-0.062387787130120255,-0.06231204905646953,0.03901756863096592,-0.13887273075225998,0.01409715649201946,-0.13879699267860926,0.014172894565670183,-7.573807365072269e-5,FALSE,FALSE,-1.5970254232350134,0.1102600402949054,FALSE
ITA,Italy,Southern,predictors_only,SUPFCH,-0.006678788382136737,-0.006603050308486015,0.03875917129409731,-0.08265720362652354,0.06929962686225005,-0.08258146555287282,0.06937536493590077,-7.573807365072269e-5,FALSE,FALSE,-0.17036097749312826,0.8647262589381186,FALSE
HUN,Hungary,Central-East,predictors_only,SUPFCH,0.0915318084009791,0.09160754647462982,0.0389849861045037,0.015110735306577805,0.1679528814953804,0.015186473380228528,0.16802861956903112,-7.573807365072269e-5,TRUE,TRUE,2.349816060702583,0.018782690318298666,FALSE
TUR,Turkey,Southern,predictors_only,SUPFCH,0.32841115161701295,0.3284868896906637,0.03898498610450404,0.251990078522611,0.4048322247114149,0.25206581659626176,0.40490796278506563,-7.573807365072269e-5,TRUE,TRUE,8.425984526712778,3.577294577093406e-17,FALSE
AUT,Austria,Western,predictors_only,SUPFCH,-0.05792777719962963,-0.05785203912597891,0.038984986104503606,-0.13434885029403076,0.018493295894771486,-0.13427311222038005,0.01856903396842221,-7.573807365072269e-5,FALSE,FALSE,-1.483956899994784,0.13782035509840684,FALSE
BGR,Bulgaria,Central-East,predictors_only,SUPFCH,0.5785335549615366,0.5786092930351873,0.03921479432887365,0.5016619958501545,0.6554051140729187,0.5017377339238052,0.6554808521465694,-7.573807365072269e-5,TRUE,TRUE,14.754872566274312,2.8623153299385558e-49,FALSE
POL,Poland,Central-East,predictors_only,SUPFCH,-0.0012433232547761769,-0.0011675851811254541,0.038952485068339295,-0.07760068556437161,0.07511403905481925,-0.07752494749072089,0.07518977712846997,-7.573807365072269e-5,FALSE,FALSE,-0.02997460056982272,0.9760873098751175,FALSE
SRB,Serbia,Southern,predictors_only,SUPFCH,0.44178579876474633,0.4418615368383971,0.03875917129409602,0.3658073835203621,0.5177642140091305,0.3658831215940128,0.5178399520827812,-7.573807365072269e-5,TRUE,TRUE,11.4001801918222,4.1725456698973566e-30,FALSE
LTU,Lithuania,Baltic,predictors_only,SUPFCH,-0.49161953706174255,-0.4915437989880918,0.039181715626799715,-0.5684262530075459,-0.4148128211159392,-0.5683505149338952,-0.41473708304228846,-7.573807365072269e-5,TRUE,TRUE,-12.54523420235032,4.221643568549665e-36,FALSE
EST,Estonia,Baltic,predictors_only,SUPFCH,-0.49294580945662825,-0.4928700713829775,0.03882328907372909,-0.5690499128187626,-0.4168417060944939,-0.5689741747451119,-0.41676596802084315,-7.573807365072269e-5,TRUE,TRUE,-12.695216792347777,6.285565609451469e-37,FALSE
LVA,Latvia,Baltic,predictors_only,SUPFCH,-0.1941674665685145,-0.19409172849486378,0.039082979521195806,-0.27078063315346423,-0.11755429998356473,-0.2707048950798135,-0.11747856190991401,-7.573807365072269e-5,TRUE,TRUE,-4.9661446203097785,6.829703175032925e-7,FALSE
FRA,France,Western,predictors_only,SUPFCH,-0.07198252570273841,-0.0719067876290877,0.039082979521195146,-0.14859569228768688,0.00463064088221006,-0.14851995421403616,0.004706378955860783,-7.573807365072269e-5,FALSE,TRUE,-1.8398491750121515,0.06579038355432225,FALSE
