country_iso3,country_name,cluster,item_code,item_short_label,origin,truth_value,short_form,n,mean,sd,se
LTU,Lithuania,Baltic,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,593,5.234401349072512,1.7916935841425696,0.07357603699572322
LTU,Lithuania,Baltic,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,593,4.860033726812816,1.813697320898269,0.07447962216447641
LTU,Lithuania,Baltic,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,593,5.718381112984823,1.6795519259835685,0.06897093104318001
LTU,Lithuania,Baltic,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,593,4.917369308600337,1.8730625558274665,0.0769174601743171
LTU,Lithuania,Baltic,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,593,4.433389544688027,1.7502986651584245,0.07187615141396513
LTU,Lithuania,Baltic,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,593,5.183811129848229,1.5869849594640493,0.06516966133194123
LVA,Latvia,Baltic,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,596,6.12248322147651,1.5229663253957517,0.062383131381989386
LVA,Latvia,Baltic,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,596,5.419463087248323,1.6485971771226209,0.06752917157882167
LVA,Latvia,Baltic,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,596,5.0637583892617455,1.6900982922080168,0.0692291234895762
LVA,Latvia,Baltic,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,596,4.531879194630873,1.7268975899635377,0.07073648145827657
LVA,Latvia,Baltic,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,596,5.946308724832216,1.5318917174332367,0.0627487296850021
LVA,Latvia,Baltic,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,596,4.694630872483221,1.7288568228560857,0.07081673476454188
LVA,Latvia,Baltic,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,596,4.322147651006711,1.6983173338330593,0.06956578855234168
