country_iso3,country_name,cluster,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
TUR,Turkey,Southern,gen,General disinformation acceptance,599,4.3245409015025045,1.2076880596458779,0.04878034227785992,4.226174179187535,4.421580411797439,1,7
ITA,Italy,Southern,gen,General disinformation acceptance,606,4.087788778877888,1.114331610038088,0.045211305999179704,3.9997909790979103,4.17986798679868,1,7
AUT,Austria,Western,gen,General disinformation acceptance,599,4.040734557595993,1.0891115682141195,0.045570576342094896,3.952701725097384,4.126983861992209,1,7
FRA,France,Western,gen,General disinformation acceptance,596,4.011744966442953,1.1205324253948108,0.046754415170968636,3.921370246085011,4.100548098434005,1,7
DEU,Germany,Western,gen,General disinformation acceptance,598,4.004682274247491,1.1277428054435361,0.04479352459079341,3.9131577480490525,4.093751393534002,1,7
BEL,Belgium,Western,gen,General disinformation acceptance,595,3.951260504201681,1.1536405226899495,0.04543825077979742,3.859610644257703,4.040327731092437,1,7
POL,Poland,Central-East,gen,General disinformation acceptance,600,3.941,1.065870128996248,0.0410381837056075,3.864227777777778,4.023658333333334,1,7
HUN,Hungary,Central-East,gen,General disinformation acceptance,599,3.9315525876460766,0.930164922347126,0.036897595563065856,3.8565414579855313,4.001555370061213,1,7
LTU,Lithuania,Baltic,gen,General disinformation acceptance,593,3.9163575042158514,1.0006174885845875,0.04148069063866183,3.839460370994941,3.9989797639123097,1,7
LVA,Latvia,Baltic,gen,General disinformation acceptance,596,3.709395973154362,1.0489109058065371,0.04309471590974732,3.624496644295302,3.7949580536912753,1,7
EST,Estonia,Baltic,gen,General disinformation acceptance,604,3.2867549668874174,1.1337239886671873,0.04502392695971884,3.1958167770419426,3.373614790286976,1,7
SRB,Serbia,Southern,overall,Overall DisInforMeter composite,606,4.84742287173403,0.9632857870756599,0.03990391905225714,4.766656061067931,4.925577760611882,1,7
BGR,Bulgaria,Central-East,overall,Overall DisInforMeter composite,592,4.801406553110066,1.2040544505532662,0.05247668290667179,4.702298450654708,4.902376993741767,1,7
TUR,Turkey,Southern,overall,Overall DisInforMeter composite,599,4.542121479062646,1.0654270117244324,0.043481547922097664,4.454903525111185,4.627826181834656,1,7
ITA,Italy,Southern,overall,Overall DisInforMeter composite,606,4.111533073013511,0.9733234300901428,0.03960063798852331,4.035123588077278,4.188040297661945,1,7
POL,Poland,Central-East,overall,Overall DisInforMeter composite,600,4.052702357635203,1.0415526425954154,0.041996939534972764,3.9722328603473125,4.1361503961261485,1,7
